Reference,Account Number,Description,Start Balance,Mutation,End Balance
136659,NL46ABNA0625805417,Candy from Daniël Bakker,108.03,-46.61,61.42
112806,NL43AEGO0773393871,Flowers for Willem Dekker,13.02,+25.57,38.59
176483,NL91RABO0315273637,Subscription for Vincent King,19.2,+11.81,31.01
183690,NL43AEGO0773393871,Subscription from Jan Dekker,29.62,+44.66,74.28
112806,NL74ABNA0248990274,Subscription from Jan Bakker,16.1,+36.25,52.35
112806,NL93ABNA0585619023,Candy for Vincent Bakker,68.38,-22.27,46.11
145118,NL74ABNA0248990274,Tickets for Willem Bakker,63.02,+43.33,106.35
121259,NL27SNSB0917829871,Clothes from Rik King,106,-30.54,75.46
199873,NL91RABO0315273637,Flowers for Richard King,31.46,-20.62,10.84
196386,NL90ABNA0585647886,Tickets for Willem de Vries,59.06,+9.85,68.91
